Water Level,Date,Upper Red Line,Lower Red Line,Black Line,Pumping Limit,The Island,Natural,Hydro-Electric,National Carrier,Min-Max
-212.415,17/03/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-212.47,16/03/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-212.49,15/03/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-212.51,14/03/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-212.53,13/03/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-212.545,12/03/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-212.56,11/03/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-212.575,10/03/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-212.59,09/03/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-212.61,08/03/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-212.635,07/03/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-212.665,06/03/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-212.7,05/03/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-212.74,04/03/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-212.77,03/03/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-212.79,02/03/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-212.82,01/03/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-212.915,28/02/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-212.975,27/02/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213,26/02/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.015,25/02/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.03,24/02/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.045,23/02/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.06,22/02/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.08,21/02/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.105,20/02/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.13,19/02/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.18,18/02/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.235,17/02/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.325,16/02/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.34,15/02/2019,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.35,14/02/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.365,13/02/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.38,12/02/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.4,11/02/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.435,10/02/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.455,09/02/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.475,08/02/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.485,07/02/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.495,06/02/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.52,05/02/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.525,04/02/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.535,03/02/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.545,02/02/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.56,01/02/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.575,31/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.585,30/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.595,29/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.62,28/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.635,27/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.645,26/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.655,25/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.67,24/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.685,23/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.7,22/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.72,21/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.74,20/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.76,19/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.79,18/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.85,17/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.9,16/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.97,15/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.05,14/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.11,13/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.135,12/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.165,11/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.185,10/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.24,09/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.35,08/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.435,07/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.44,06/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.445,05/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.45,04/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.45,03/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.455,02/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.46,01/01/2019,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.47,31/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.475,30/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.48,29/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.5,28/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.535,27/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.54,26/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.545,25/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.545,24/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.55,23/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.56,22/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.57,21/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.58,20/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.595,19/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.595,18/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.6,17/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.6,16/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.61,15/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.61,14/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.605,13/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.61,12/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.61,11/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.61,10/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.61,09/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.62,08/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.63,07/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.66,06/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.66,05/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.655,04/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.655,03/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.65,02/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.65,01/12/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.65,30/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.645,29/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.645,28/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.645,27/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.64,26/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.64,25/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.64,24/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.645,23/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.655,22/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.66,21/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.66,20/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.655,19/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.655,18/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.655,17/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.66,16/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.66,15/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.66,14/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.66,13/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.66,12/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,-214.66
-214.655,11/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.655,10/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.655,09/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.655,08/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.65,07/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.65,06/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.645,05/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.64,04/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.635,03/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.63,02/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.62,01/11/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.61,31/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.595,30/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.585,29/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.58,28/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.575,27/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.565,26/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.555,25/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.55,24/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.54,23/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.53,22/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.525,21/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.52,20/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.515,19/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.515,18/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.51,17/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.505,16/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.5,15/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.495,14/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.49,13/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.485,12/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.48,11/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.475,10/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.47,09/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.465,08/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.46,07/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.45,06/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.445,05/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.44,04/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.435,03/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.43,02/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.425,01/10/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.415,30/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.41,29/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.405,28/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.4,27/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.39,26/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.385,25/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.38,24/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.375,23/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.365,22/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.36,21/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.35,20/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.345,19/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.34,18/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.335,17/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.33,16/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.32,15/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.315,14/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.31,13/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.3,12/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.295,11/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.285,10/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.275,09/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.265,08/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.26,07/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.25,06/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.24,05/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.235,04/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.23,03/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.225,02/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.22,01/09/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.215,31/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.21,30/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.205,29/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.2,28/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.19,27/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.18,26/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.175,25/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.17,24/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.165,23/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.16,22/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.15,21/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.14,20/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.13,19/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.12,18/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.11,17/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.1,16/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.09,15/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.08,14/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.065,13/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.06,12/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.05,11/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.04,10/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.03,09/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.02,08/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214.02,07/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-214,06/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.98,05/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.975,04/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.97,03/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.96,02/08/2018,-209,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.95,01/08/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.94,31/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.935,30/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.93,29/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.92,28/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.91,27/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.9,26/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.89,25/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.88,24/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.875,23/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.865,22/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.855,21/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.85,20/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.84,19/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.83,18/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.82,17/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.81,16/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.8,15/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.795,14/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.785,13/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.775,12/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.765,11/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.755,10/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.745,09/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.74,08/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.73,07/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.72,06/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.715,05/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.705,04/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.7,03/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.69,02/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.685,01/07/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.67,30/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.66,29/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.65,28/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.64,27/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.63,26/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.625,25/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.615,24/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.61,23/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.6,22/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.59,21/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.58,20/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.57,19/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.57,18/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.57,17/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.56,16/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.55,15/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.54,14/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.53,13/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.525,12/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.52,11/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.51,10/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.5,09/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.495,08/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.49,07/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.49,06/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.485,05/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.48,04/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.47,03/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.465,02/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.46,01/06/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.45,31/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.44,30/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.435,29/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.435,28/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.425,27/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.415,26/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.405,25/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.395,24/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.39,23/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.39,22/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.385,21/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.385,20/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.385,19/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.385,18/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.375,17/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.37,16/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.37,15/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.365,14/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.365,13/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.365,12/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.36,11/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.36,10/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.36,09/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.365,08/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.365,07/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.365,06/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.365,05/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.36,04/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.36,03/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.36,02/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.36,01/05/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.355,30/04/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.355,29/04/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,-213.355
-213.36,28/04/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.37,27/04/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.38,26/04/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.38,25/04/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.385,24/04/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.385,23/04/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.385,22/04/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.385,21/04/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.385,20/04/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
-213.385,19/04/2018,-208.8,-214.87,-214.87,-215.5,-212.4,,,-208,
